City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,sao joao da barra,-21.6403,-41.0511,24.05,95,100,1.41,BR,1711414178
196,karakoyunlu,39.8704,43.6301,1.89,78,55,3.04,TR,1711414179
197,el calafate,-50.3408,-72.2768,12.41,84,65,3.48,AR,1711413918
198,vila franca do campo,37.7167,-25.4333,14.23,75,100,8.63,PT,1711414180
199,panjakent,39.4952,67.6093,15.87,28,100,3.0,TJ,1711414181
200,manay,7.215,126.5397,29.87,68,95,2.5,PH,1711414182
201,inirida,3.8653,-67.9239,27.87,65,97,1.15,CO,1711414183
202,coquimbo,-29.9533,-71.3436,17.85,82,100,3.09,CL,1711414148
203,kingston,17.997,-76.7936,28.53,71,75,3.09,JM,1711413911
204,mejit,10.2753,170.8646,27.03,78,100,10.41,MH,1711414185
205,amqui,48.4638,-67.4313,-8.36,97,100,1.76,CA,1711414008
206,gargalianoi,37.0667,21.6333,13.53,78,96,2.68,GR,1711414186
207,huadian,42.9633,126.7478,6.65,30,7,2.54,CN,1711413981
208,mount pearl,47.5166,-52.7813,-3.3,76,40,1.03,CA,1711413924
209,salalah,17.0151,54.0924,27.05,78,20,1.03,OM,1711414189
210,alaghsas,17.0187,8.0168,23.26,10,2,4.96,NE,1711414190
211,imam sahib,37.189,68.9364,16.69,38,100,1.91,AF,1711414191
212,akureyri,65.6835,-18.0878,-9.04,86,20,1.03,IS,1711414192
213,ciutadella,40.0011,3.8414,14.45,93,82,3.93,ES,1711414192
214,villavicencio,4.142,-73.6266,24.43,89,54,2.36,CO,1711413930
215,changyon,38.2508,125.0961,5.7,88,100,1.47,KP,1711414194
216,ar rutbah,33.0381,40.2848,9.72,69,6,4.21,IQ,1711414194
217,dampit,-8.2116,112.7493,25.78,78,100,2.52,ID,1711414195
218,hammerfest,70.6634,23.6821,-8.75,48,11,3.6,NO,1711414196
219,prince rupert,54.3161,-130.3201,9.05,81,100,3.6,CA,1711413903
220,bondoukou,8.0333,-2.8,24.91,81,99,1.53,CI,1711414197
221,san luis,-33.295,-66.3356,22.47,49,0,3.16,AR,1711414133
222,ryazan',55.6744,36.6697,0.32,97,100,0.62,RU,1711414199
223,kutum,14.2,24.6667,18.2,18,21,2.68,SD,1711414199
224,babana,10.4295,3.815,30.3,19,9,1.99,NG,1711414200
225,poronaysk,49.2167,143.1167,-0.44,63,13,5.21,RU,1711414201
226,wagar,16.1525,36.2032,20.92,58,3,6.91,SD,1711414201
227,rio grande,-32.035,-52.0986,22.06,80,27,5.4,BR,1711414182
228,hobyo,5.3505,48.5268,28.05,78,92,6.07,SO,1711414203
229,borovskoy,53.8,64.15,-5.45,92,100,2.26,KZ,1711414204
230,port lincoln,-34.7333,135.8667,18.3,56,7,3.79,AU,1711414204
231,papatowai,-46.5619,169.4708,8.82,84,100,7.2,NZ,1711414205
